,time,row_384,column_384,rfu_value,standard_conc,replicate,sample_set,reporter
433,00:14:00,M,5,17.215,,a,no_target,r5A-AAAGG-ddC
434,00:14:00,N,5,20.085,,a,no_gRNA,r5A-AAAGG-ddC
435,00:14:00,J,7,364.39300000000003,1.25,a,standard,standard
436,00:14:00,K,7,295.531,1.25,b,standard,standard
437,00:14:00,L,7,915.2869999999999,,b,target_added,r5A-AAAGG-ddC
438,00:14:00,M,7,14.345999999999998,,b,no_target,r5A-AAAGG-ddC
439,00:14:00,N,7,25.823,,b,no_gRNA,r5A-AAAGG-ddC
440,00:14:00,J,9,152.07,0.625,a,standard,standard
441,00:14:00,K,9,160.67700000000002,0.625,b,standard,standard
442,00:14:00,L,9,5574.929,,a,target_added,r17A-r3C
443,00:14:00,M,9,447.601,,a,no_target,r17A-r3C
444,00:14:00,N,9,826.341,,a,no_gRNA,r17A-r3C
445,00:14:00,J,11,71.73100000000001,0.3125,a,standard,standard
446,00:14:00,K,11,137.72299999999998,0.3125,b,standard,standard
447,00:14:00,L,11,5270.79,,b,target_added,r17A-r3C
448,00:14:00,M,11,401.69300000000004,,b,no_target,r17A-r3C
449,00:14:00,N,11,1141.9569999999999,,b,no_gRNA,r17A-r3C
450,00:14:00,J,13,68.862,0.15625,a,standard,standard
451,00:14:00,K,13,65.992,0.15625,b,standard,standard
452,00:14:00,L,13,34.431,,a,target_added,H20
453,00:14:00,M,13,14.345999999999998,,a,no_target,H20
454,00:14:00,N,13,25.823,,a,no_gRNA,H20
455,00:14:00,J,15,86.07700000000001,0.078125,a,standard,standard
