,experiment,read,read_number,row,column,well,rfu_value,sample_set,concentration,concentration_target_molecules,concentration_target_molecules_number
181,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,D,7,D7,1456.69,UMP_Standards,10pM,6E7,6E7
182,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,D,7,D7,1445.19,UMP_Standards,10pM,6E7,6E7
183,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,D,7,D7,1461.09,UMP_Standards,10pM,6E7,6E7
184,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,D,7,D7,1464.59,UMP_Standards,10pM,6E7,6E7
185,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,D,7,D7,1434.19,UMP_Standards,10pM,6E7,6E7
186,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,1,D,8,D8,1492.19,UMP_Standards,0pM,0,0
187,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,2,D,8,D8,1504.6,UMP_Standards,0pM,0,0
188,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,3,D,8,D8,1504.9,UMP_Standards,0pM,0,0
189,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,4,D,8,D8,1491.19,UMP_Standards,0pM,0,0
190,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,5,D,8,D8,1489.49,UMP_Standards,0pM,0,0
191,NANCY_DREW,80µl per well (Injector 1) 0.5sec. ,6,D,8,D8,1462.69,UMP_Standards,0pM,0,0
