,Unnamed: 0,time,row_384,column_384,rfu_value,sample_set,standard_conc,gRNA_used,replicate,reporter
283,283,00:50:00,D,22,3380.043,no_target,,IVT_D9_3Cs,b,DNA-RNA-Luc
284,284,00:50:00,A,24,84.94,standard,0,standard,a,DNA-RNA-Luc
285,285,00:50:00,B,24,93.727,standard,0,standard,b,DNA-RNA-Luc
286,286,00:50:00,C,24,246.034,no_target,,none,a,DNA-RNA-Luc
287,287,00:50:00,D,24,87.869,no_target,,none,b,DNA-RNA-Luc
288,288,01:00:00,A,2,6626.778,standard,10,standard,a,DNA-RNA-Luc
289,289,01:00:00,B,2,5762.289000000002,standard,10,standard,b,DNA-RNA-Luc
290,290,01:00:00,C,2,242.407,target_added,,syn_11C,a,DNA-RNA-Luc
291,291,01:00:00,D,2,201.52,target_added,,syn_11C,b,DNA-RNA-Luc
292,292,01:00:00,A,4,3484.243,standard,5,standard,a,DNA-RNA-Luc
293,293,01:00:00,B,4,3849.314,standard,5,standard,b,DNA-RNA-Luc
294,294,01:00:00,C,4,3455.0370000000007,target_added,,IVT_11C,a,DNA-RNA-Luc
295,295,01:00:00,D,4,3104.568,target_added,,IVT_11C,b,DNA-RNA-Luc
296,296,01:00:00,A,6,2035.639,standard,2.5,standard,a,DNA-RNA-Luc
297,297,01:00:00,B,6,1915.895,standard,2.5,standard,b,DNA-RNA-Luc
298,298,01:00:00,C,6,5546.167,target_added,,IVT_D9_3Cs,a,DNA-RNA-Luc
299,299,01:00:00,D,6,5315.441,target_added,,IVT_D9_3Cs,b,DNA-RNA-Luc
300,300,01:00:00,A,8,876.172,standard,1.25,standard,a,DNA-RNA-Luc
301,301,01:00:00,B,8,911.219,standard,1.25,standard,b,DNA-RNA-Luc
302,302,01:00:00,C,8,186.917,target_added,,none,a,DNA-RNA-Luc
303,303,01:00:00,D,8,119.743,target_added,,none,b,DNA-RNA-Luc
304,304,01:00:00,A,10,511.1,standard,0.625,standard,a,DNA-RNA-Luc
305,305,01:00:00,B,10,549.068,standard,0.625,standard,b,DNA-RNA-Luc
306,306,01:00:00,C,10,262.85200000000003,no_cas12a,,syn_11C,a,DNA-RNA-Luc
